id_transaccion,fecha,mes,id_cliente,segmento_cliente,producto,categoria,precio_unitario,cantidad,metodo_pago,tienda,total_ticket
1,2026-05-09,5,1578,,Monitor,Accesorios,802.37,2,Tarjeta,CDMX,1604.74
2,2026-12-04,12,1135,Individual,USB,Accesorios,460.1,3,Efectivo,CDMX,1380.3
3,2026-09-06,9,3372,,Smartwatch,Accesorios,1685.64,3,Efectivo,Monterrey,5056.92
4,2026-08-24,8,4829,Empresa,Teclado,Accesorios,1254.07,4,Efectivo,CDMX,5016.28
5,2026-03-26,3,2635,,Audífonos,Accesorios,1235.83,2,Tarjeta,Guadalajara,2471.66
6,2026-03-02,3,2263,Individual,Smartwatch,Computo,913.39,4,Tarjeta,Guadalajara,3653.56
7,2026-01-01,1,4221,Individual,Laptop,Computo,1048.68,4,Tarjeta,Monterrey,4194.72
8,2026-11-23,11,1034,Empresa,Laptop,Accesorios,384.28,1,Efectivo,CDMX,384.28
9,2026-08-17,8,3006,Empresa,Mouse,Accesorios,1699.56,2,Efectivo,Monterrey,3399.12
10,2026-09-04,9,2667,PyME,Mouse,Computo,1488.18,4,Tarjeta,Monterrey,5952.72
11,2026-01-05,1,1911,Individual,Laptop,Accesorios,1936.05,2,Tarjeta,Guadalajara,3872.1
12,2026-12-18,12,2813,,Laptop,Computo,236.33,4,Efectivo,Monterrey,945.32
13,2026-10-26,10,1573,PyME,Mouse,Accesorios,1292.38,4,Efectivo,Guadalajara,5169.52
14,2026-03-13,3,3171,PyME,Teclado,Accesorios,949.41,3,Tarjeta,Monterrey,2848.23
15,2026-03-20,3,4633,PyME,Teclado,Accesorios,1919.02,1,Tarjeta,Monterrey,1919.02
16,2026-03-27,3,4579,Individual,Mouse,Accesorios,1588.25,3,Efectivo,Guadalajara,4764.75
17,2026-04-27,4,3747,PyME,Tablet,Computo,918.44,2,Efectivo,Guadalajara,1836.88
18,2026-06-26,6,4610,Empresa,Teclado,Computo,1364.98,3,Tarjeta,Guadalajara,4094.94
19,2026-06-11,6,1691,PyME,Smartwatch,Accesorios,676.12,2,Efectivo,Guadalajara,1352.24
20,2026-04-23,4,3087,Individual,Audífonos,Computo,1933.41,3,Efectivo,CDMX,5800.23
21,2026-08-20,8,3503,Empresa,Laptop,Computo,938.73,4,Efectivo,Guadalajara,3754.92
22,2026-03-27,3,4526,Individual,Smartwatch,Accesorios,469.54,2,Efectivo,Guadalajara,939.08
23,2026-04-01,4,3409,PyME,Teclado,Computo,1523.2,1,Tarjeta,CDMX,1523.2
24,2026-05-12,5,2249,PyME,Monitor,Accesorios,826.91,3,Tarjeta,CDMX,2480.73
25,2026-06-13,6,4613,PyME,Tablet,Computo,690.42,1,Efectivo,CDMX,690.42
26,2026-09-26,9,3355,PyME,USB,Accesorios,790.8,2,Tarjeta,CDMX,1581.6
27,2026-03-04,3,2240,Empresa,Tablet,Accesorios,23.42,3,Tarjeta,Guadalajara,70.26
28,2026-06-27,6,3341,Empresa,Monitor,Accesorios,104.45,3,Tarjeta,Monterrey,313.35
29,2026-07-12,7,4598,Individual,Mouse,Accesorios,518.48,4,Tarjeta,Guadalajara,2073.92
30,2026-01-06,1,3541,Individual,Monitor,Computo,788.07,2,Efectivo,CDMX,1576.14
31,2026-08-13,8,4995,Empresa,USB,Computo,325.95,2,Efectivo,Monterrey,651.9
32,2026-03-14,3,3874,,Mouse,Computo,18.74,2,Efectivo,Monterrey,37.48
33,2026-02-12,2,3343,Individual,Tablet,Computo,79.51,1,Efectivo,Monterrey,79.51
34,2026-12-21,12,1072,PyME,Teclado,Accesorios,1529.17,1,Efectivo,Guadalajara,1529.17
35,2026-12-20,12,3180,Individual,Monitor,Computo,60.48,2,Efectivo,Monterrey,120.96
