transaction_id,tiempo_sk,producto_sk,cliente_sk,canal_sk,tienda_sk,cantidad,precio_unitario,monto_venta,ticket_alto,ticket_bajo,canal_digital,es_pico_temporada,outlier_contextual,complementariedad_estimada,metodo_pago
1,1,2,1,1,2,2,802.37,1604.74,False,False,False,False,False,alta,Tarjeta
2,2,5,3,2,1,3,460.1,1380.3,False,False,True,False,False,baja,Efectivo
3,3,8,1,3,15,3,1685.64,5056.92,True,False,True,True,False,alta,Efectivo
4,4,3,2,4,4,4,1254.07,5016.28,True,False,True,False,False,baja,Efectivo
5,5,6,1,1,24,2,1235.83,2471.66,False,False,False,True,False,alta,Tarjeta
6,6,8,3,1,23,4,913.39,3653.56,False,False,False,True,False,alta,Tarjeta
7,7,1,3,1,12,4,1048.68,4194.72,True,False,False,False,False,alta,Tarjeta
8,8,1,2,2,9,1,384.28,384.28,False,False,True,False,False,alta,Efectivo
9,9,4,2,5,12,2,1699.56,3399.12,False,False,True,False,False,baja,Efectivo
12,10,1,1,2,11,4,236.33,945.32,False,False,True,False,False,alta,Efectivo
13,11,4,4,6,21,4,1292.38,5169.52,True,False,True,False,False,baja,Efectivo
14,12,3,4,1,12,3,949.41,2848.23,False,False,False,True,False,baja,Tarjeta
16,13,4,3,1,24,3,1588.25,4764.75,True,False,False,True,False,baja,Efectivo
18,14,3,2,6,30,3,1364.98,4094.94,True,False,True,True,False,baja,Tarjeta
20,15,6,3,1,9,3,1933.41,5800.23,True,False,False,False,False,alta,Efectivo
21,16,1,2,5,24,4,938.73,3754.92,True,False,True,False,False,alta,Efectivo
22,13,8,3,1,29,2,469.54,939.08,False,False,False,True,False,alta,Efectivo
23,17,3,4,1,7,1,1523.2,1523.2,False,False,False,False,False,baja,Tarjeta
25,18,7,4,1,8,1,690.42,690.42,False,False,False,True,False,alta,Efectivo
26,19,5,4,7,10,2,790.8,1581.6,False,False,True,True,False,baja,Tarjeta
27,20,7,2,1,25,3,23.42,70.26,False,True,False,True,False,alta,Tarjeta
28,21,2,2,8,11,3,104.45,313.35,False,False,True,True,False,alta,Tarjeta
29,22,4,3,9,23,4,518.48,2073.92,False,False,True,False,False,baja,Tarjeta
30,23,2,3,1,7,2,788.07,1576.14,False,False,False,False,False,alta,Efectivo
31,24,5,2,7,16,2,325.95,651.9,False,False,True,False,False,baja,Efectivo
32,25,4,1,1,15,2,18.74,37.48,False,True,False,True,False,baja,Efectivo
33,26,7,3,1,13,1,79.51,79.51,False,True,False,False,False,alta,Efectivo
34,27,3,4,2,24,1,1529.17,1529.17,False,False,True,False,False,baja,Efectivo
35,28,2,3,2,16,2,60.48,120.96,False,False,True,False,False,alta,Efectivo
36,29,5,3,3,2,1,1607.86,1607.86,False,False,True,False,False,baja,Tarjeta
37,30,1,4,1,12,2,355.34,710.68,False,False,False,False,False,alta,Efectivo
39,31,7,3,10,22,2,1473.28,2946.56,False,False,True,True,False,alta,Tarjeta
40,32,4,2,1,16,3,459.82,1379.46,False,False,False,True,False,baja,Efectivo
41,33,2,3,1,26,4,48.23,192.92,False,False,False,False,False,alta,Efectivo
42,34,2,3,1,20,1,1452.24,1452.24,False,False,False,True,False,alta,Efectivo
44,35,3,4,2,21,1,1820.23,1820.23,False,False,True,False,False,baja,Efectivo
45,17,4,3,1,28,4,231.44,925.76,False,False,False,False,False,baja,Tarjeta
47,36,1,3,1,12,1,1086.09,1086.09,False,False,False,False,False,alta,Efectivo
48,37,1,2,3,7,4,946.08,3784.32,True,False,True,True,False,alta,Efectivo
51,38,6,2,2,5,1,1153.26,1153.26,False,False,True,False,False,alta,Tarjeta
53,39,4,4,2,16,3,1650.34,4951.02,True,False,True,False,False,baja,Efectivo
54,40,6,3,2,10,1,96.22,96.22,False,True,True,False,False,alta,Efectivo
55,41,8,3,4,24,4,1009.26,4037.04,True,False,True,False,False,alta,Efectivo
57,42,1,2,1,21,2,1524.75,3049.5,False,False,False,False,False,alta,Efectivo
59,43,1,4,1,25,1,972.67,972.67,False,False,False,False,False,alta,Efectivo
60,44,4,3,1,22,4,1382.3,5529.2,True,False,False,False,False,baja,Efectivo
61,45,8,3,1,14,2,1465.65,2931.3,False,False,False,False,False,alta,Efectivo
62,46,3,3,1,12,4,147.96,591.84,False,False,False,False,False,baja,Tarjeta
63,47,8,3,4,17,2,1739.82,3479.64,False,False,True,False,False,alta,Tarjeta
64,48,8,2,1,25,1,474.64,474.64,False,False,False,False,False,alta,Tarjeta
65,49,6,2,1,8,1,381.81,381.81,False,False,False,False,False,alta,Tarjeta
66,50,4,4,10,16,2,138.56,277.12,False,False,True,False,False,baja,Tarjeta
67,51,6,2,1,13,2,1103.92,2207.84,False,False,False,True,False,alta,Tarjeta
68,52,2,3,11,26,4,707.31,2829.24,False,False,True,False,False,alta,Efectivo
69,53,2,2,1,26,4,1851.0,7404.0,True,False,False,False,False,alta,Tarjeta
70,54,8,2,2,4,3,195.02,585.06,False,False,True,False,False,alta,Efectivo
72,55,1,3,1,22,2,1052.51,2105.02,False,False,False,True,False,alta,Efectivo
73,56,8,4,1,10,4,1018.75,4075.0,True,False,False,False,False,alta,Tarjeta
75,57,8,4,5,29,2,1926.96,3853.92,True,False,True,True,False,alta,Efectivo
78,58,8,3,1,18,2,1666.04,3332.08,False,False,False,False,False,alta,Efectivo
79,59,8,2,1,17,1,636.79,636.79,False,False,False,False,False,alta,Tarjeta
82,4,1,2,4,24,2,915.66,1831.32,False,False,True,False,False,alta,Efectivo
84,60,2,3,1,1,2,983.3,1966.6,False,False,False,False,False,alta,Tarjeta
85,61,1,2,1,14,4,1174.65,4698.6,True,False,False,False,False,alta,Tarjeta
86,62,6,4,1,1,1,233.31,233.31,False,False,False,False,False,alta,Efectivo
87,63,6,3,8,26,2,1968.82,3937.64,True,False,True,True,False,alta,Efectivo
88,64,7,3,7,7,3,1761.49,5284.47,True,False,True,False,False,alta,Efectivo
89,65,2,3,2,25,4,1300.9,5203.6,True,False,True,False,False,alta,Tarjeta
90,18,1,1,1,2,3,314.75,944.25,False,False,False,True,False,alta,Efectivo
93,66,2,3,4,16,2,550.67,1101.34,False,False,True,True,False,alta,Tarjeta
94,22,2,4,4,4,2,1277.05,2554.1,False,False,True,False,False,alta,Tarjeta
95,67,8,2,10,28,3,1634.28,4902.84,True,False,True,True,False,alta,Efectivo
96,68,6,4,1,27,4,896.93,3587.72,False,False,False,True,False,alta,Efectivo
97,69,6,3,3,28,3,595.01,1785.03,False,False,True,True,False,alta,Tarjeta
98,70,4,4,1,3,1,1152.6,1152.6,False,False,False,True,False,baja,Tarjeta
99,71,8,2,1,25,4,1404.49,5617.96,True,False,False,False,False,alta,Tarjeta
101,72,7,2,1,14,1,559.47,559.47,False,False,False,False,False,alta,Tarjeta
103,73,3,1,1,19,1,125.4,125.4,False,False,False,False,False,baja,Efectivo
104,21,6,2,10,25,4,251.72,1006.88,False,False,True,True,False,alta,Efectivo
105,74,6,4,2,10,4,1820.44,7281.76,True,False,True,False,False,alta,Efectivo
106,17,7,2,1,27,2,1719.15,3438.3,False,False,False,False,False,alta,Efectivo
108,75,7,2,8,27,4,1794.54,7178.16,True,False,True,True,False,alta,Tarjeta
109,76,5,2,1,6,1,1350.42,1350.42,False,False,False,True,False,baja,Tarjeta
110,77,6,4,1,24,1,1757.54,1757.54,False,False,False,False,False,alta,Tarjeta
111,78,7,1,1,23,3,1579.57,4738.71,True,False,False,False,False,alta,Tarjeta
112,79,2,2,1,9,3,307.18,921.54,False,False,False,True,False,alta,Tarjeta
114,80,5,2,3,12,4,1955.49,7821.96,True,False,True,False,True,baja,Efectivo
115,81,2,3,12,21,4,1759.47,7037.88,True,False,True,False,False,alta,Efectivo
116,82,8,4,2,22,4,393.49,1573.96,False,False,True,False,False,alta,Efectivo
118,83,1,2,1,13,3,1637.72,4913.16,True,False,False,True,False,alta,Tarjeta
121,29,8,2,13,12,3,1851.67,5555.01,True,False,True,False,False,alta,Efectivo
122,84,4,2,2,17,4,390.74,1562.96,False,False,True,False,False,baja,Tarjeta
124,85,5,4,1,10,3,881.6,2644.8,False,False,False,False,False,baja,Tarjeta
126,86,2,3,1,9,3,706.81,2120.43,False,False,False,True,False,alta,Efectivo
127,87,2,2,12,25,1,879.45,879.45,False,False,True,False,False,alta,Efectivo
128,88,1,1,2,19,4,982.23,3928.92,True,False,True,False,False,alta,Tarjeta
129,56,2,3,1,21,4,779.98,3119.92,False,False,False,False,False,alta,Tarjeta
130,89,7,2,4,2,1,70.6,70.6,False,True,True,True,False,alta,Tarjeta
134,1,1,3,1,2,1,559.37,559.37,False,False,False,False,False,alta,Efectivo
135,39,8,4,2,25,1,771.38,771.38,False,False,True,False,False,alta,Tarjeta
136,90,5,4,1,27,2,50.34,100.68,False,False,False,False,False,baja,Efectivo
138,91,7,3,12,28,1,149.02,149.02,False,False,True,True,False,alta,Efectivo
140,92,1,2,2,15,1,1390.82,1390.82,False,False,True,False,False,alta,Tarjeta
141,93,2,1,2,9,4,1964.56,7858.24,True,False,True,False,True,alta,Efectivo
142,36,2,1,1,3,3,1760.33,5280.99,True,False,False,False,False,alta,Tarjeta
143,18,5,4,1,29,2,222.55,445.1,False,False,False,True,False,baja,Tarjeta
146,94,4,4,1,19,4,1246.08,4984.32,True,False,False,False,False,baja,Tarjeta
148,95,1,2,7,24,3,495.21,1485.63,False,False,True,True,False,alta,Efectivo
149,96,4,2,1,3,3,654.54,1963.62,False,False,False,False,False,baja,Efectivo
150,73,5,2,1,6,3,1472.16,4416.48,True,False,False,False,False,baja,Tarjeta
151,97,3,4,2,3,1,649.66,649.66,False,False,True,False,False,baja,Efectivo
153,98,4,1,1,19,1,1302.68,1302.68,False,False,False,True,False,baja,Tarjeta
154,37,8,3,1,11,2,123.84,247.68,False,False,False,True,False,alta,Tarjeta
155,54,8,4,2,10,1,1574.62,1574.62,False,False,True,False,False,alta,Efectivo
156,99,2,2,1,16,1,224.96,224.96,False,False,False,True,False,alta,Tarjeta
158,100,8,3,14,21,3,1080.82,3242.46,False,False,True,True,False,alta,Tarjeta
160,101,8,2,5,26,1,914.52,914.52,False,False,True,True,False,alta,Tarjeta
161,102,4,2,1,15,2,220.28,440.56,False,False,False,False,False,baja,Efectivo
162,103,6,4,10,24,2,961.07,1922.14,False,False,True,False,False,alta,Efectivo
163,104,8,4,13,1,1,1890.0,1890.0,False,False,True,False,False,alta,Efectivo
164,105,6,2,5,24,4,1194.02,4776.08,True,False,True,False,False,alta,Tarjeta
166,47,3,4,15,22,1,290.44,290.44,False,False,True,False,False,baja,Tarjeta
167,106,7,2,1,2,2,215.35,430.7,False,False,False,False,False,alta,Tarjeta
169,71,6,4,1,22,4,1637.37,6549.48,True,False,False,False,False,alta,Tarjeta
170,107,7,2,15,29,3,163.13,489.39,False,False,True,False,False,alta,Efectivo
171,91,8,3,5,3,3,1816.71,5450.13,True,False,True,True,False,alta,Tarjeta
176,108,5,2,1,15,1,1567.37,1567.37,False,False,False,True,False,baja,Tarjeta
177,109,7,4,8,9,1,1751.69,1751.69,False,False,True,True,False,alta,Tarjeta
178,110,6,4,1,10,3,622.4,1867.2,False,False,False,False,False,alta,Tarjeta
179,84,4,3,2,17,3,857.79,2573.37,False,False,True,False,False,baja,Efectivo
180,20,3,2,1,24,4,293.55,1174.2,False,False,False,True,False,baja,Efectivo
181,110,8,3,1,19,4,1576.33,6305.32,True,False,False,False,False,alta,Tarjeta
183,74,5,2,2,25,2,1004.53,2009.06,False,False,True,False,False,baja,Efectivo
185,111,1,3,1,16,4,1004.31,4017.24,True,False,False,False,False,alta,Tarjeta
186,112,1,2,7,28,3,78.47,235.41,False,False,True,False,False,alta,Tarjeta
188,113,2,4,5,18,2,133.58,267.16,False,False,True,False,False,alta,Tarjeta
189,107,3,4,12,2,2,89.15,178.3,False,False,True,False,False,baja,Tarjeta
191,114,5,2,1,4,2,785.22,1570.44,False,False,False,False,False,baja,Efectivo
192,115,3,2,2,22,1,610.52,610.52,False,False,True,False,False,baja,Efectivo
193,116,6,4,2,26,2,517.87,1035.74,False,False,True,False,False,alta,Efectivo
194,112,4,3,8,1,1,617.09,617.09,False,False,True,False,False,baja,Tarjeta
195,117,5,4,1,20,1,48.85,48.85,False,True,False,False,False,baja,Tarjeta
196,118,3,2,1,19,3,1741.34,5224.02,True,False,False,False,False,baja,Tarjeta
198,82,7,2,2,20,4,101.12,404.48,False,False,True,False,False,alta,Efectivo
199,119,2,1,2,14,3,1224.92,3674.76,False,False,True,False,False,alta,Tarjeta
